Taxa,FE,Phyla,Morphology,Calcification,Energetic_Resource,Lit_Identification,Lit_Phyla,Lit_Morphology,Lit_Calcification,Lit_Energetic_Resource,Identification_notes
Amansia rhodantha,"Rhodophyta,  Br,  NC,  Auto",Rhodophyta,Br,NC,Auto,,,Payri et al. 2000,Ho and Carpenter 2017,,"(Harvey) J.Agardh, 1841"
Amphiroa fragilissima,"Rhodophyta, Br, AC, Auto",Rhodophyta,Br,AC,Auto,,,Payri et al. 2000,Yang et al. 2021,,"(Linnaeus) J.V.Lamouroux, 1816"
Avrainvillea erecta,"Chlorophyta, Fol, NC, Auto",Chlorophyta,Fol,NC,Auto,,,Payri et al. 2000,Coppejans and Prud'homme van Reine 1989,,"(Berkeley) A.Gepp and E.S. Gepp, 1911"
Caulerpa racemosa,"Chlorophyta, Stol, NC, Auto",Chlorophyta,Stol,NC,Auto,,,Payri et al. 2000,Paul and Hay 1986,,"(Forsskal) J.Agardh, 1873"
Caulerpa serrulata,"Chlorophyta, Stol, NC, Auto",Chlorophyta,Stol,NC,Auto,,,Payri et al. 2000,Paul and Hay 1986,,"(Forsskal) J.Agardh, 1873"
Crustose Corallines,"Rhodophyta, Enc, Non-AC, Auto",Rhodophyta,Enc,Non-AC,Auto,,,,Steneck 1986,,
Cyanobacteria,"Cyanobacteria, Enc, NC, Auto",Cyanobacteria,Enc,NC,Auto,,,,Ford et al. 2024,,
Cyphastrea microphthalma,"Cnidaria, Enc, Herm, Mix",Cnidaria,Enc,Herm,Mix,Baird et al. 2017,,Dinesen 1983,,,"Lamarck, 1816"
Danafungia scruposa,"Cnidaria, Mush, Herm, Mix",Cnidaria,Mush,Herm,Mix,,,Corona et al. 2020,,,Dana 1846
Dictyosphaeria sp.,"Chlorophyta, Cushion, NC, Auto",Chlorophyta,Cushion,NC,Auto,Payri et al. 2000,,Marine Algae of Hawaii,Ford et al. 2024,,"(Forsskal) Borgesen, 1932; combined Dictyosphaeria cavernosa and versluysii; full morphology lit link: https://www.hawaii.edu/reefalgae/invasive_algae/chloro/dictyosphaeria_versluysii.htm"
Dictyota bartayresiana,"Phaeophyta, Br, NC, Auto",Phaeophyta,Br,NC,Auto,,,Payri et al. 2000,Ho and Carpenter 2017,,"J.V.Lamouroux, 1809"
Dictyota friabilis,"Phaeophyta, Br, NC, Auto",Phaeophyta,Br,NC,Auto,Payri et al. 2000,,Clerck and Coppejans 1999,,,"Setchell, 1926"
Discosoma nummiforme,"Cnidaria, Poly, NC, Mix",Cnidaria,Poly,NC,Mix,Connors 2017,,,,,"Ruppell and Leuckart, 1828"
Galaxaura divaricata,"Rhodophyta, Br, Non-AC, Auto",Rhodophyta,Br,Non-AC,Auto,,,Okazaki et al. 1982,,,"(Linnaeus) Huisman & R.A.Townsend, 1993, previously Galaxaura divaricata"
Galaxaura rugosa,"Rhodophyta, Br, AC, Auto",Rhodophyta,Br,AC,Auto,,,Payri et al. 2000,,,"(J.Ellis & Solander) J.V.Lamouroux, 1816"
Goniastrea stelligera,"Cnidaria, Mas, Herm, Mix",Cnidaria,Mas,Herm,Mix,,,Coral Trait Database,,,"Dana, 1846; max size based on G. pectinata and G. palauensis"
Gracilaria verrucosa,"Rhodophyta, Br, NC, Auto",Rhodophyta,Br,NC,Auto,,,Payri et al. 2000,Dawes 1986,,"(Hudson) Papenfuss, 1950; now Gracilariopsis longissima (S.G.Gmelin) Steentoft, L.M.Irvine & Famham, 1995"
Porifera unknown,"Porifera, Enc, NC, Het",Porifera,Enc,NC,Het,Paulay et al. 2009,,,,,UC Berkeley Moorea Biocode Project records (Pauley et al. 2009); called Grey Sponge in notes and survey datasets
Halimeda distorta,"Chlorophyta, Br, AC, Auto",Chlorophyta,Br,AC,Auto,Payri et al. 2000,,,Castro-Sanguino et al. 2020,,"(Yamada) Hillis-Colinvaux, 1968"
Halimeda incrassata,"Chlorophyta, Br, AC, Auto",Chlorophyta,Br,AC,Auto,Payri et al. 2000,,,Castro-Sanguino et al. 2020,,"(J.Ellis) J.V.Lamouroux, 1816"
Halimeda macroloba,"Chlorophyta, Br, AC, Auto",Chlorophyta,Br,AC,Auto,Payri et al. 2000,,,Castro-Sanguino et al. 2020,,"Decaisne, 1841"
Halimeda minima,"Chlorophyta, Br, AC, Auto",Chlorophyta,Br,AC,Auto,Payri et al. 2000,,,Castro-Sanguino et al. 2020,,"(W.R.Taylor) Hillis-Colinvaux, 1968"
Halimeda opuntia,"Chlorophyta, Br, AC, Auto",Chlorophyta,Br,AC,Auto,Payri et al. 2000,,,Castro-Sanguino et al. 2020,,"(Linnaeus) J.V.Lamouroux, 1816"
Heteractis magnifica,"Cnidaria, Poly, NC, Mix",Cnidaria,Poly,NC,Mix,,,,,Acuna and Zamponi 1995,"Quoy and Gaimard, 1833; previously Heteractis magnifica; hundreds of years life span"
Hypnea pannosa,"Rhodophyta, Br, NC, Auto",Rhodophyta,Br,NC,Auto,,,Payri et al. 2000,,,"J.Agardh, 1847"
Lendenfeldia chondrodes,"Porifera, Enc, NC, Het",Porifera,Enc,NC,Het,Freeman and Easson 2016,,,,Curdt et al. 2022,"de Laubenfels, 1954; Freeman and Easson 2016; authors indicate may be phototrophic"
Leptastrea transversa,"Cnidaria, Enc, Herm, Mix",Cnidaria,Enc,Herm,Mix,,,Coral Trait Database,,,"Klunzinger, 1879"
Leptoseris mycetoseroides,"Cnidaria, Enc, Herm, Mix",Cnidaria,Enc,Herm,Mix,,,Denisen 1983,,,"Wells, 1954"
Lithophyllum kotschyanum,"Rhodophyta, Enc, Non-AC, Auto",Rhodophyta,Enc,Non-AC,Auto,,,Payri et al. 2000,Comeau et al. 2016,,"Unger, 1858"
Lobophora variegata,"Phaeophyta, Enc, NC, Auto",Phaeophyta,Enc,NC,Auto,,,Ho and Carpenter 2017,,,"(J.V.Lamouroux) Womersley ex E.C.Oliveira, 1977"
Montipora grisea,"Cnidaria, Enc, Herm, Mix",Cnidaria,Enc,Herm,Mix,,,Turak and Souhoka 2003,,,"Bernard, 1897, previously labeled as efflorescens"
Montipora setosa,"Cnidaria, Dig, Herm, Mix",Cnidaria,Dig,Herm,Mix,,,Veron 2002,,,"Nemenzo, 1976"
Montipora verrilli,"Cnidaria, Enc, Herm, Mix",Cnidaria,Enc,Herm,Mix,,,Coral Trait Database,,,"Vaughan, 1907"
Padina boryana,"Phaeophyta, Fol, Non-AC, Auto",Phaeophyta,Fol,Non-AC,Auto,Fong et al. 2016,,,,,"Thivy, 1966"
Pavona cactus,"Cnidaria, Fol, Herm, Mix",Cnidaria,Fol,Herm,Mix,,,Johansson et al. 2016,,,"Forskal, 1775"
Pavona chiriquiensis,"Cnidaria, Enc, Herm, Mix",Cnidaria,Enc,Herm,Mix,,,Coral Trait Database,,,"Glynn, Mate & Stemann, 2001; size based on P varians and P cf explanulata"
Pocillopora acuta,"Cnidaria, Br, Herm, Mix",Cnidaria,Br,Herm,Mix,,,Coral Trait Database,,,"Lamarck, 1816; growth based on p. damicornis"
Pocillopora verrucosa,"Cnidaria, Br, Herm, Mix",Cnidaria,Br,Herm,Mix,,,Coral Trait Database,,,"Ellis and Solander, 1786"
Porites irregularis,"Cnidaria, Mas, Herm, Mix",Cnidaria,Br,Herm,Mix,,,Edmunds 2009,,,"Quelch, 1884; endemic to Polynesia and different from Verrill, 1864 which is a synonym of Porites rus"
Porites lobata,"Cnidaria, Mas, Herm, Mix",Cnidaria,Mas,Herm,Mix,,,Coral Trait Database,,,"Dana , 1846"
Porites lutea,"Cnidaria, Mas, Herm, Mix",Cnidaria,Mas,Herm,Mix,,,Coral Trait Database,,,"Milne Edwards and Haime, 1851"
Porites rus,"Cnidaria, Mas, Herm, Mix",Cnidaria,Mas,Herm,Mix,,,Coral Trait Database,,,"Forskal, 1775"
Psammocora stellata,"Cnidaria, Br, Herm, Mix",Cnidaria,Br,Herm,Mix,,,Coral Trait Database,,,"Verrill, 1866"
Sargassum pacificum,"Phaeophyta, Br, NC, Auto",Phaeophyta,Br,NC,Auto,,,Payri et al. 2000,,,"Bory, 1828; previously Sargassum mangarevense (Grunow) Setchell, 1926"
Stylocoeniella armata,"Cnidaria, Enc, Herm, Mix",Cnidaria,Enc,Herm,Mix,,,Dinesen 1983,,,"Ehrenberg, 1834"
Turbinaria ornata,"Phaeophyta, Br, NC, Auto",Phaeophyta,Br,NC,Auto,,,Payri et al. 2000,,,"(Turner) J.Adardh, 1848"
Turf,"Turf, Fil, NC, Auto",Turf,Fil,NC,Auto,,,,,,
Valonia fastigiata,"Chlorophyta, Cushion, NC, Auto",Chlorophyta,Cushion,NC,Auto,,,Payri et al. 2000,,,"Harvey ex J. Agardh, 1887"
Valonia macrophysa,"Chlorophyta, Cushion, NC, Auto",Chlorophyta,Cushion,NC,Auto,,,Payri et al. 2000,,,"Kutzing, 1843"
Valonia ventricosa,"Chlorophyta, Sph, NC, Auto",Chlorophyta,Sph,NC,Auto,,,Payri et al. 2000,,,"J.Agardh, 1887"
Verongida sp.,"Porifera, Enc, NC, Het",Porifera,Enc,NC,Het,Freeman and Easson 2016,,,,,Freeman and Easson 2016
