Taxa,Genus,Family,Taxon_Group,Identified,Morphology,Morph2,Calcification,Calc,Energetic_Resource,ER,Identification_notes,Observation_notes
Amansia rhodantha,Amansia,Rhodomelaceae,Rhodophyta,yes,Branched,Br,Non-Calcified,NC,Autotrophy,Auto,"(Harvey) J.Agardh, 1841",
Amphiroa fragilissima,Amphiroa,Corallinaceae,Rhodophyta,yes,Branched,Br,Articulated Calcification,AC,Autotrophy,Auto,"(Linnaeus) J.V.Lamouroux, 1816",
Avrainvillea erecta,Avrainvillea,Dichotomosiphonaceae,Chlorophyta,yes,Foliose,Fol,Non-Calcified,NC,Autotrophy,Auto,"(Berkeley) A.Gepp and E.S. Gepp, 1911",
Bare Rock,Substrate,Substrate,Hard Substrate,yes,Abiotic,Abiotic,Abiotic,Abiotic,Abiotic,Abiotic,,
Caulerpa racemosa,Caulerpa,Caulerpaceae,Chlorophyta,yes,Stolonial,Stol,Non-Calcified,NC,Autotrophy,Auto,"(Forsskal) J.Agardh, 1873",
Caulerpa serrulata,Caulerpa,Caulerpaceae,Chlorophyta,yes,Stolonial,Stol,Non-Calcified,NC,Autotrophy,Auto,"(Forsskal) J.Agardh, 1873",
Crustose Corallines,Crustose Corallines,NA,Rhodophyta,yes,Encrusting,Enc,Non-Articulated Calcification,Non-AC,Autotrophy,Auto,,assumed max size category estimated from field survey
Cyanobacteria,Cyanobacteria,Cyanobacteriaceae,Cyanobacteria,yes,Encrusting,Enc,Non-Calcified,NC,Autotrophy,Auto,Look into Bonnard 2020 for identification,
Cyphastrea microphthalma,Cyphastrea,Merulinidae,Cnidaria,yes,Encrusting,Enc,Hermatypic,Herm,Mixotrophy,Mix,"Lamarck, 1816",
Danafungia scruposa,Danafungia,Fungiidae,Cnidaria,yes,Mushroom,Mush,Hermatypic,Herm,Mixotrophy,Mix,Dana 1846,
Dictyosphaeria sp.,Dictyosphaeria,Siphonocladaceae,Chlorophyta,yes,Cushion-like,Cushion,Non-Calcified,NC,Autotrophy,Auto,"(Forsskal) Borgesen, 1932; combined Dictyosphaeria cavernosa and versluysii",
Dictyota bartayresiana,Dictyota,Dictyotacea,Phaeophyta,yes,Branched,Br,Non-Calcified,NC,Autotrophy,Auto,"J.V.Lamouroux, 1809",
Dictyota friabilis,Dictyota,Dictyotacea,Phaeophyta,yes,Branched,Br,Non-Calcified,NC,Autotrophy,Auto,"Setchell, 1926",
Discosoma nummiforme,Discosoma,Discosomidae,Cnidaria,yes,Polypoid,Poly,Non-Calcified,NC,Mixotrophy,Mix,"Ruppell and Leuckart, 1828",
Galaxaura divaricata,Galaxaura,Galaxauraceae,Rhodophyta,yes,Branched,Br,Non-Articulated Calcification,Non-AC,Autotrophy,Auto,"(Linnaeus) Huisman & R.A.Townsend, 1993, previously Galaxaura divaricata",
Galaxaura rugosa,Galaxaura,Galaxauraceae,Rhodophyta,yes,Branched,Br,Articulated Calcification,AC,Autotrophy,Auto,"(J.Ellis & Solander) J.V.Lamouroux, 1816",
Goniastrea stelligera,Goniastrea,Merulinidae,Cnidaria,yes,Massive,Mas,Hermatypic,Herm,Mixotrophy,Mix,"Dana, 1846; max size based on G. pectinata and G. palauensis",
Gracilaria verrucosa,Gracilaria,Gracilariaceae,Rhodophyta,yes,Branched,Br,Non-Calcified,NC,Autotrophy,Auto,"(Hudson) Papenfuss, 1950; now Gracilariopsis longissima (S.G.Gmelin) Steentoft, L.M.Irvine & Famham, 1995",
Porifera unknown,Grey Sponge,NA,Porifera,yes,Encrusting,Enc,Non-Calcified,NC,Heterotrophy,Het,UC Berkeley Moorea Biocode Project records (Pauley et al. 2009); called Porifera 1 in defense,assumed max size category estimated from field survey
Halimeda distorta,Halimeda,Halimedaceae,Chlorophyta,yes,Branched,Br,Articulated Calcification,AC,Autotrophy,Auto,"(Yamada) Hillis-Colinvaux, 1968",
Halimeda incrassata,Halimeda,Halimedaceae,Chlorophyta,yes,Branched,Br,Articulated Calcification,AC,Autotrophy,Auto,"(J.Ellis) J.V.Lamouroux, 1816",
Halimeda macroloba,Halimeda,Halimedaceae,Chlorophyta,yes,Branched,Br,Articulated Calcification,AC,Autotrophy,Auto,"Decaisne, 1841",
Halimeda minima,Halimeda,Halimedaceae,Chlorophyta,yes,Branched,Br,Articulated Calcification,AC,Autotrophy,Auto,"(W.R.Taylor) Hillis-Colinvaux, 1968",assumed max size category estimated from field survey
Halimeda opuntia,Halimeda,Halimedaceae,Chlorophyta,yes,Branched,Br,Articulated Calcification,AC,Autotrophy,Auto,"(Linnaeus) J.V.Lamouroux, 1816",
Heteractis magnifica,Radianthus,Stichodactylidae,Cnidaria,yes,Polypoid,Poly,Non-Calcified,NC,Mixotrophy,Mix,"Quoy and Gaimard, 1833; previously Heteractis magnifica; hundreds of years life span",
Hypnea pannosa,Hypnea,Cystocloniaceae,Rhodophyta,yes,Branched,Br,Non-Calcified,NC,Autotrophy,Auto,"J.Agardh, 1847",
Lendenfeldia chondrodes,Lendenfeldia,Thorectidae,Porifera,yes,Encrusting,Enc,Non-Calcified,NC,Heterotrophy,Het,"de Laubenfels, 1954; Freeman and Easson 2016; authors indicate may be phototrophic",assumed max size category estimated from field survey
Leptastrea transversa,Leptastrea,Faviidae,Cnidaria,yes,Encrusting,Enc,Hermatypic,Herm,Mixotrophy,Mix,"Klunzinger, 1879",assumed max size category estimated from field survey
Leptoseris mycetoseroides,Leptoseris,Agaricidae,Cnidaria,yes,Encrusting,Enc,Hermatypic,Herm,Mixotrophy,Mix,"Wells, 1954",
Lithophyllum kotschyanum,Lithophyllum,Lithophyllaceae,Rhodophyta,yes,Encrusting,Enc,Non-Articulated Calcification,Non-AC,Autotrophy,Auto,"Unger, 1858",
Lobophora variegata,Lobophora,Dictyotacea,Phaeophyta,yes,Encrusting,Enc,Non-Calcified,NC,Autotrophy,Auto,"(J.V.Lamouroux) Womersley ex E.C.Oliveira, 1977",
Montipora grisea,Montipora,Acroporidae,Cnidaria,yes,Encrusting,Enc,Hermatypic,Herm,Mixotrophy,Mix,"Bernard, 1897, previously labeled as efflorescens",max size category estimated from field survey
Montipora setosa,Montipora,Acroporidae,Cnidaria,yes,Digitate,Dig,Hermatypic,Herm,Mixotrophy,Mix,"Nemenzo, 1976",max size category estimated from field survey
Montipora verrilli,Montipora,Acroporidae,Cnidaria,yes,Encrusting,Enc,Hermatypic,Herm,Mixotrophy,Mix,"Vaughan, 1907",
Padina boryana,Padina,Dictyotacea,Phaeophyta,yes,Foliose,Fol,Non-Articulated Calcification,Non-AC,Autotrophy,Auto,"Thivy, 1966",
Pavona cactus,Pavona,Agaricidae,Cnidaria,yes,Foliose,Fol,Hermatypic,Herm,Mixotrophy,Mix,"Forskal, 1775",
Pavona chiriquiensis,Pavona,Agaricidae,Cnidaria,yes,Encrusting,Enc,Hermatypic,Herm,Mixotrophy,Mix,"Glynn, Mate & Stemann, 2001; size based on P varians and P cf explanulata",
Pocillopora acuta,Pocillopora,Pocilloporidae,Cnidaria,yes,Branched,Br,Hermatypic,Herm,Mixotrophy,Mix,"Lamarck, 1816; growth based on p. damicornis",max size category estimated from field survey
Pocillopora verrucosa,Pocillopora,Pocilloporidae,Cnidaria,yes,Branched,Br,Hermatypic,Herm,Mixotrophy,Mix,"Ellis and Solander, 1786",
Porites irregularis,Porites,Poritidae,Cnidaria,yes,Branched,Br,Hermatypic,Herm,Mixotrophy,Mix,"Quelch, 1884; endemic to Polynesia and different from Verrill, 1864 which is a synonym of Porites rus",max size category estimated from field survey
Porites lobata,Porites,Poritidae,Cnidaria,yes,Massive,Mas,Hermatypic,Herm,Mixotrophy,Mix,"Dana , 1846",
Porites lutea,Porites,Poritidae,Cnidaria,yes,Massive,Mas,Hermatypic,Herm,Mixotrophy,Mix,"Milne Edwards and Haime, 1851",
Porites rus,Porites,Poritidae,Cnidaria,yes,Massive,Mas,Hermatypic,Herm,Mixotrophy,Mix,"Forskal, 1775",
Psammocora stellata,Psammocora,Psammocoridae,Cnidaria,yes,Branched,Br,Hermatypic,Herm,Mixotrophy,Mix,"Verrill, 1866",assumed max size category estimated from field survey
Rubble,Substrate,Substrate,Hard Substrate,yes,Abiotic,Abiotic,Abiotic,Abiotic,Abiotic,Abiotic,,
Sand,Substrate,Substrate,Sand,yes,Abiotic,Abiotic,Abiotic,Abiotic,Abiotic,Abiotic,,
Sargassum pacificum,Sargassum,Sargassaceae,Phaeophyta,yes,Branched,Br,Non-Calcified,NC,Autotrophy,Auto,"Bory, 1828; previously Sargassum mangarevense (Grunow) Setchell, 1926",
Stylocoeniella armata,Stylocoeniella,Astrocoeniidae,Cnidaria,yes,Encrusting,Enc,Hermatypic,Herm,Mixotrophy,Mix,"Ehrenberg, 1834",
Turbinaria ornata,Turbinaria,Sargassaceae,Phaeophyta,yes,Branched,Br,Non-Calcified,NC,Autotrophy,Auto,"(Turner) J.Adardh, 1848",
Turf,Turf,NA,Turf,yes,Filamentous,Fil,Non-Calcified,NC,Autotrophy,Auto,,assumed max size category estimated from field survey
Valonia fastigiata,Valonia,Valoniaceae,Chlorophyta,yes,Cushion-like,Cushion,Non-Calcified,NC,Autotrophy,Auto,"Harvey ex J. Agardh, 1887",
Valonia macrophysa,Valonia,Valoniaceae,Chlorophyta,yes,Cushion-like,Cushion,Non-Calcified,NC,Autotrophy,Auto,"Kutzing, 1843",
Valonia ventricosa,Valonia,Valoniaceae,Chlorophyta,yes,Spherical,Sph,Non-Calcified,NC,Autotrophy,Auto,"J.Agardh, 1887",
Verongida sp.,Verongida,NA,Porifera,yes,Encrusting,Enc,Non-Calcified,NC,Heterotrophy,Het,Freeman and Easson 2016,assumed max size category estimated from field survey
